Data Types,Memory Size,Range,
char,1 byte(8 bits),-128 to 127,
signed char,1 byte,-128 to 127,
unsigned char,1 byte,0 to 255,These are 32-bit Architecture
short,2 byte,-32768 to 32767,
signed short,2 byte,"-32,768 to 32,768",
unsigned short,2 byte,0 to 65535,
int,2 byte,-32768 to 32767,
signed int,2 byte,-32768 to 32767,
unsigned int,2 byte,0 to 65535,
short int,2 byte,"-32,768 to 32,768",
signed short int,2 byte,"-32,768 to 32,768",
unsigned short int,2 byte,0 to 65535,
long int,4 byte,-2147483648 to 2147483647,
signed long int,4 byte,-2147483648 to 2147483647,
unsigned long int,4 byte,0 to 4294967295,
float,4 byte,,
double,8 byte,,
long double,10 byte,,
